Dataset,Model,Nodes,DA Bounds,NW Bounds,NW Impr. (%),DC Bounds,DC Impr. (%),VN Bounds,VN Impr. (%),RV Bounds,RV Impr. (%),DA Time (s), Others Time (s)
Mnist,CNN 4-5,8690,0.05819,0.05698,2.12,0.05394,7.88,0.05425,7.26,0.05220,11.48,14.88,1.42
Mnist,CNN 5-5,10690,0.05985,0.05813,2.96,0.05481,9.2,0.05503,8.76,0.05125,16.78,24.41,3.54
Mnist,CNN 6-5,12300,0.06450,0.06235,3.45,0.05898,9.36,0.05882,9.66,0.05409,19.25,30.91,7.04
Mnist,CNN 8-5,14570,0.11412,0.11907,-4.16,0.08782,29.95,0.08819,29.4,0.06853,66.53,39.28,13.35
Mnist,FNN 5x100,510,0.00635,0.00575,10.43,0.00607,4.61,0.00616,3.08,0.00519,22.35,12.53,5.34
Mnist,FNN 6x200,1210,0.02976,0.02909,2.3,0.02511,18.52,0.02829,5.2,0.01812,64.24,56.76,99.09
Fashion Mnist,CNN 4-5,8690,0.07703,0.07473,3.08,0.07204,6.93,0.07200,6.99,0.06663,15.61,15.08,1.16
Fashion Mnist,CNN 5-5,10690,0.07288,0.07044,3.46,0.06764,7.75,0.06764,7.75,0.06046,20.54,20.6,2.62
Fashion Mnist,CNN 6-5,12300,0.07655,0.07350,4.15,0.06949,10.16,0.06910,10.78,0.06265,22.19,25.85,5.03
Fashion Mnist,FNN 1x50,60,0.03618,0.03284,10.17,0.03511,3.05,0.03560,1.63,0.02922,23.82,2.35,0.02
Fashion Mnist,FNN 5x100,510,0.00805,0.00710,13.38,0.00776,3.74,0.00789,2.03,0.00656,22.71,12.07,5.27
Cifar-10,CNN 3-2,2514,0.03197,0.03138,1.88,0.03120,2.47,0.03119,2.5,0.03105,2.96,5.2,0.35
Cifar-10,CNN 5-5,10690,0.01973,0.01926,2.44,0.01921,2.71,0.01913,3.14,0.01864,5.85,32.19,4.79
Cifar-10,CNN 6-5,12300,0.02338,0.02289,2.14,0.02240,4.38,0.02234,4.66,0.02124,10.08,38.73,9.97
Cifar-10,FNN 5x100,510,0.00370,0.00329,12.46,0.00368,0.54,0.00368,0.54,0.00331,11.78,17.9,3.94
Cifar-10,FNN 3x700,2110,0.00428,0.00348,22.99,0.00427,0.23,0.00426,0.47,0.00397,7.81,219.28,90.17
